STATIONS_ID,Date,QN_3,FX,Wind Speed (m/s),QN_4,Precipitation Level (mm),RSKF,Sun Duration (hours),Snow Height (cm),Cloud Cover (octaves),Vapor Pressure (hPa),Atmospheric Pressure (hPa),Average Temperature (°C),Relative Humidity (%),Maximum Temperature (°C),Minimum Temperature (°C),Soil Minimum Temperature (°C),eor,Month,Cluster,Cluster Label,Average Temperature (°C) Min,Average Temperature (°C) Max,Cluster_Sun,Cluster Label_Sun,Sun Duration (hours) Min,Sun Duration (hours) Max,Cluster_Precip,Cluster Label_Precip,Precipitation Level (mm) Min,Precipitation Level (mm) Max,Cluster_Clouds,Cluster Label_Clouds,Cloud Cover (octaves) Min,Cloud Cover (octaves) Max,Cluster_Snow_Temp,Cluster Label_Snow_Temp,Snow Height (cm) Min,Snow Height (cm) Max,Cluster_Pressure_Wind,Cluster Label_Pressure_Wind,Atmospheric Pressure (hPa) Min,Atmospheric Pressure (hPa) Max,Cluster_Wind_Pressure,Cluster Label_Wind_Pressure,Wind Speed (m/s) Min,Wind Speed (m/s) Max
3379,1985-01-01,10,14.0,4.0,10,1.2,7,0.1,5,8.0,4.2,947.7,-2.4,82.0,-1.0,-8.5,-8.6,eor,1,0,Cold temperature,-18.7,5.9,0,Low sun duration,0.0,4.0,2,Medium precipitation,0.0,10.4,2,High Cloud Cover,1.2,8.0,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-02,10,14.0,3.8,10,4.5,7,0.0,8,8.0,4.5,939.1,-4.0,94.0,-0.5,-5.6,-3.1,eor,1,0,Cold temperature,-18.7,5.9,0,Low sun duration,0.0,4.0,2,Medium precipitation,0.0,10.4,2,High Cloud Cover,1.2,8.0,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-03,10,13.0,3.9,10,1.5,7,0.2,19,7.3,3.0,944.6,-6.8,83.0,-5.6,-8.6,-9.4,eor,1,0,Cold temperature,-18.7,5.9,0,Low sun duration,0.0,4.0,2,Medium precipitation,0.0,10.4,2,High Cloud Cover,1.2,8.0,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-04,10,18.0,3.5,10,4.3,7,2.9,21,5.7,2.8,940.4,-9.5,88.0,-6.0,-13.2,-8.0,eor,1,0,Cold temperature,-18.7,5.9,0,Low sun duration,0.0,4.0,2,Medium precipitation,0.0,10.4,2,High Cloud Cover,1.2,8.0,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-05,10,6.0,2.4,10,1.3,7,0.8,26,8.0,2.2,944.5,-11.4,86.0,-10.4,-14.3,-13.7,eor,1,0,Cold temperature,-18.7,5.9,0,Low sun duration,0.0,4.0,2,Medium precipitation,0.0,10.4,2,High Cloud Cover,1.2,8.0,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-06,10,4.5,1.5,10,0.0,7,4.9,28,2.7,1.8,946.4,-13.6,77.0,-9.4,-16.4,-12.0,eor,1,0,Cold temperature,-18.7,5.9,2,Medium sun duration,2.2,10.2,1,Low precipitation,0.0,10.1,1,Low Cloud Cover,0.0,5.2,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-07,10,3.5,1.0,10,0.0,7,1.6,25,2.7,1.2,943.3,-18.7,85.0,-15.1,-20.2,-22.3,eor,1,0,Cold temperature,-18.7,5.9,0,Low sun duration,0.0,4.0,1,Low precipitation,0.0,10.1,1,Low Cloud Cover,0.0,5.2,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-08,10,5.0,1.4,10,0.0,7,2.1,22,3.7,1.2,948.6,-18.4,85.0,-17.1,-21.0,-22.7,eor,1,0,Cold temperature,-18.7,5.9,0,Low sun duration,0.0,4.0,1,Low precipitation,0.0,10.1,1,Low Cloud Cover,0.0,5.2,2,No snow,0.0,50.0,0,Low Pressure,912.6,949.0,0,Low Wind,0.1,11.0
3379,1985-01-09,10,6.0,1.5,10,0.0,0,6.9,19,2.3,1.4,952.0,-15.6,76.0,-11.0,-18.6,-20.1,eor,1,0,Cold temperature,-18.7,5.9,2,Medium sun duration,2.2,10.2,1,Low precipitation,0.0,10.1,1,Low Cloud Cover,0.0,5.2,2,No snow,0.0,50.0,1,Medium Pressure,948.8,958.7,1,Medium Wind,0.1,10.4
3379,1985-01-10,10,4.5,1.1,10,0.3,7,6.7,17,2.7,2.1,954.6,-11.0,80.0,-7.2,-18.0,-21.3,eor,1,0,Cold temperature,-18.7,5.9,2,Medium sun duration,2.2,10.2,1,Low precipitation,0.0,10.1,1,Low Cloud Cover,0.0,5.2,2,No snow,0.0,50.0,1,Medium Pressure,948.8,958.7,1,Medium Wind,0.1,10.4
